dist_sth,sys_code,sys_name,sys_media,sys_sat_voters_rate,S,V_s,V_s^,notS
48,6688,Pittsburgh Interconnect,Comcast,2,54790,3579150,73190,3524360
200,6500,Philadelphia Interconnect,Comcast,1,35682,4974508,45887,4938826
168,6500,Philadelphia Interconnect,Comcast,1,33893,4910115,43485,4876222
161,6500,Philadelphia Interconnect,Comcast,1,33622,4910115,43137,4876493
165,6500,Philadelphia Interconnect,Comcast,1,33328,4910115,42759,4876787
61,3523,Central MontCo,Comcast,16,32984,205865,38118,172881
168,245,W Delaware County,Comcast,30,32615,110104,39662,77489
178,6500,Philadelphia Interconnect,Effectv,1,32416,5187621,45113,5155205
61,6500,Philadelphia Interconnect,Comcast,1,32352,4910115,41508,4877763
157,6500,Philadelphia Interconnect,Comcast,1,30935,4910115,39690,4879180
29,6500,Philadelphia Interconnect,Effectv,1,30785,5187621,42710,5156836
131,6500,Philadelphia Interconnect,Effectv,1,30665,5187621,42676,5156956
30,6688,Pittsburgh Interconnect,Effectv,2,30310,1853587,45478,1823277
160,6500,Philadelphia Interconnect,Effectv,1,30150,5187621,41959,5157471
200,5284,Chestnut Hill-Mt. Airy,Comcast,22,30015,134297,45517,104282
144,6500,Philadelphia Interconnect,Effectv,1,29814,5187621,41492,5157807
152,6500,Philadelphia Interconnect,Effectv,1,29598,5187621,41191,5158023
44,6688,Pittsburgh Interconnect,Effectv,2,29506,1853587,44272,1824081
151,6500,Philadelphia Interconnect,Effectv,1,29063,5187621,40446,5158558
146,6500,Philadelphia Interconnect,Comcast,1,28303,4910115,36312,4881812
177,6500,Philadelphia Interconnect,Comcast,1,27930,4974508,35877,4946578
26,6500,Philadelphia Interconnect,Effectv,1,27874,5187621,38792,5159747
162,6500,Philadelphia Interconnect,Effectv,1,27407,5187621,38142,5160214
146,264,W Montgomery County,Comcast,19,26489,136057,32309,109568
18,6500,Philadelphia Interconnect,Comcast,1,26405,5067309,35780,5040904
48,4936,Canonsburg-South Fayette,Comcast,12,25413,206864,73190,181451
105,5976,HLLY Interconnect,Effectv,2,24685,1266676,42913,1241991
49,6688,Pittsburgh Interconnect,Comcast,1,24202,1791991,32338,1767789
178,901,Central Bucks County,Effectv,11,23695,209043,45113,185348
58,6688,Pittsburgh Interconnect,Effectv,1,23592,1853587,35399,1829995
18,3157,Lower Bucks County,Comcast,8,22849,281220,35780,258371
202,6500,Philadelphia Interconnect,Comcast,0,22833,5067309,29979,5044476
105,5931,Harrisburg East,Effectv,10,22694,217578,42913,194884
29,901,Central Bucks County,Effectv,11,22196,209043,42513,186847
106,5976,HLLY Interconnect,Effectv,2,22157,1266676,38518,1244519
161,247,E Delaware County,Comcast,5,21652,399568,43136,377916
48,1290,Washington,Comcast,26,21433,82614,39512,61181
165,247,E Delaware County,Comcast,5,21083,399568,42002,378485
106,5931,Harrisburg East,Effectv,9,20370,217578,38518,197208
152,5282,SE Montgomery County,Effectv,17,20315,118954,30995,98639
160,245,W Delaware County,Effectv,13,19445,149019,31686,129574
161,9550,Verizon-Philadelphia,Comcast,1,19258,2686670,43122,2667412
151,3523,Central MontCo,Effectv,5,18833,386580,40393,367747
50,6688,Pittsburgh Interconnect,Effectv,1,18649,1853587,27982,1834938
162,247,E Delaware County,Effectv,5,18428,390217,38142,371789
178,3157,Lower Bucks County,Effectv,7,18362,279112,28588,260750
144,901,Central Bucks County,Effectv,9,18220,209043,34689,190823
30,628,North Hills-Fox Chapel,Effectv,8,17344,212850,45032,195506
114,9166,Wilkes Barre Super Zone,Comcast,2,16230,864367,40915,848137
157,264,W Montgomery County,Comcast,12,16200,136057,19759,119857
29,3157,Lower Bucks County,Effectv,6,16007,279112,25021,263105
120,2377,Upper Metro,Effectv,6,15201,259905,37950,244704
161,245,W Delaware County,Comcast,14,15141,110104,18412,94963
44,1248,Hopewell-Moon,Effectv,14,14163,103104,31639,88941
160,261,Chester County,Effectv,4,14161,387091,26167,372930
30,4495,AK Valley,Effectv,10,14067,142666,35727,128599
120,9166,Wilkes Barre Super Zone,Effectv,2,13914,848669,38000,834755
114,2377,Upper Metro,Comcast,7,13884,207760,27727,193876
152,3157,Lower Bucks County,Effectv,5,13421,279112,20895,265691
168,247,E Delaware County,Comcast,3,13228,399568,26354,386340
152,3523,Central MontCo,Effectv,3,12531,386580,26877,374049
26,261,Chester County,Effectv,3,12470,387091,23041,374621
144,262,Upper Bucks County,Effectv,7,12201,177046,26693,164845
26,264,W Montgomery County,Effectv,5,11022,223088,20985,212066
177,5283,NE Philadelphia,Comcast,4,10122,275642,35877,265520
58,634,Greensburg,Effectv,7,9903,132265,18395,122362
131,1042,Svc Electric-Lehigh Valley,Viamedia,2,9670,445335,35732,435665
157,261,Chester County,Comcast,4,9049,233294,9789,224245
131,1853,Lehigh Valley,Effectv,2,9036,392213,30673,383177
48,637,Uniontown,Comcast,4,8723,225642,39512,216919
200,1673,Verizon-Philly,Comcast,1,8678,915610,45887,906932
49,636,Mon Valley-McKeesport,Comcast,8,8313,109059,20471,100746
202,5283,NE Philadelphia,Comcast,3,8246,270551,29938,262305
58,636,Mon Valley-McKeesport,Effectv,11,8245,77320,15511,69075
48,2422,DirecTV- I+ Pittsburgh,Comcast,0,8199,3431796,73190,3423597
151,5282,SE Montgomery County,Effectv,6,7703,118954,11753,111251
44,638,Greentree-Bridgeville,Effectv,4,7024,166362,25550,159338
177,1673,Verizon-Philly,Comcast,1,6697,915610,35877,908913
26,8960,Eastern Berks,Viamedia,3,6687,259915,32169,253228
114,2494,DirecTV- I+ Wilkes Barre,Comcast,1,6119,829321,40915,823202
202,1673,Verizon-Philly,Comcast,1,5396,942317,29979,936921
114,8133,Carbondale,Comcast,10,5366,55041,12586,49675
131,264,W Montgomery County,Effectv,2,5233,223088,9963,217855
50,637,Uniontown,Effectv,4,4974,112840,23798,107866
157,247,E Delaware County,Comcast,1,4944,399568,9849,394624
44,628,North Hills-Fox Chapel,Effectv,2,4829,212850,12538,208021
30,6132,Cranberry-Butler,Effectv,2,4572,246150,12025,241578
120,2494,DirecTV- I+ Wilkes Barre,Effectv,1,4325,834401,38000,830076
44,2662,Mt. Lebanon-Bethel Park,Effectv,1,4275,290433,20412,286158
50,1290,Washington,Effectv,10,4272,41991,7808,37719
48,9995,DISH TV- RSN Pittsburgh,Comcast,0,3911,3431796,73190,3427885
160,247,E Delaware County,Effectv,1,3827,390217,7921,386390
120,374,Wilkes Barre,Effectv,5,3804,73449,17737,69645
44,6132,Cranberry-Butler,Effectv,2,3788,246150,9963,242362
49,6133,Fay West-California,Comcast,3,3752,144749,15578,140997
26,5976,HLLY Interconnect,Effectv,0,3714,1266676,6457,1262962
105,2476,DirecTV- I+ HLLY,Effectv,0,3698,1185815,42913,1182117
131,262,Upper Bucks County,Effectv,2,3650,177046,7985,173396
30,2422,DirecTV- I+ Pittsburgh,Effectv,0,3525,1774540,45478,1771015
49,2422,DirecTV- I+ Pittsburgh,Comcast,0,3519,1718013,32338,1714494
44,2422,DirecTV- I+ Pittsburgh,Effectv,0,3431,1774540,44272,1771109
48,2456,DISH- I+ Pittsburgh,Comcast,0,3347,3431796,73190,3428449
106,2476,DirecTV- I+ HLLY,Effectv,0,3319,1185815,38518,1182496
58,6133,Fay West-California,Effectv,2,3177,148745,15644,145568
151,262,Upper Bucks County,Effectv,2,2954,177046,6463,174092
200,9753,DirecTV- I+ Philadelphia,Comcast,0,2943,4963208,45887,4960265
26,5932,Lancaster Metro,Effectv,1,2907,285355,6224,282448
146,262,Upper Bucks County,Comcast,2,2774,120043,4003,117269
168,9753,DirecTV- I+ Philadelphia,Comcast,0,2766,4898776,43485,4896010
161,9753,DirecTV- I+ Philadelphia,Comcast,0,2744,4898776,43137,4896032
58,2422,DirecTV- I+ Pittsburgh,Effectv,0,2743,1774540,35399,1771797
49,637,Uniontown,Comcast,2,2722,112132,12344,109410
165,9753,DirecTV- I+ Philadelphia,Comcast,0,2720,4898776,42759,4896056
61,9753,DirecTV- I+ Philadelphia,Comcast,0,2641,4898776,41508,4896135
114,2138,DISH- I+ Wilkes Barre,Comcast,0,2634,829321,40915,826687
120,2138,DISH- I+ Wilkes Barre,Effectv,0,2613,834924,38000,832311
44,630,Sewickley,Effectv,3,2587,98167,10048,95580
157,9753,DirecTV- I+ Philadelphia,Comcast,0,2525,4898776,39690,4896251
48,1670,Hickory,Ad Systems,4,2431,66352,43134,63921
177,9753,DirecTV- I+ Philadelphia,Comcast,0,2354,4963208,35877,4960854
61,262,Upper Bucks County,Comcast,2,2349,120043,3390,117694
146,9753,DirecTV- I+ Philadelphia,Comcast,0,2310,4898776,36312,4896466
50,2422,DirecTV- I+ Pittsburgh,Effectv,0,2172,1774540,28028,1772368
30,2456,DISH- I+ Pittsburgh,Effectv,0,2066,1749856,45478,1747790
29,9753,DirecTV- I+ Philadelphia,Effectv,0,2050,5159779,42710,5157729
44,2456,DISH- I+ Pittsburgh,Effectv,0,2011,1749856,44272,1747845
44,4936,Canonsburg-South Fayette,Effectv,2,2007,108369,5948,106362
178,9753,DirecTV- I+ Philadelphia,Effectv,0,1988,5159779,45113,5157791
131,9753,DirecTV- I+ Philadelphia,Effectv,0,1881,5159779,42676,5157898
105,2130,DISH- I+ HLLY,Effectv,0,1874,1147312,42913,1145438
160,9753,DirecTV- I+ Philadelphia,Effectv,0,1849,5159779,41959,5157930
144,9753,DirecTV- I+ Philadelphia,Effectv,0,1829,5159779,41492,5157950
152,9753,DirecTV- I+ Philadelphia,Effectv,0,1815,5159779,41191,5157964
151,9753,DirecTV- I+ Philadelphia,Effectv,0,1783,5159779,40446,5157996
18,901,Central Bucks County,Comcast,1,1764,209938,3364,208174
151,3157,Lower Bucks County,Effectv,1,1754,279112,2731,277358
18,9753,DirecTV- I+ Philadelphia,Comcast,0,1753,5054608,35780,5052855
58,637,Uniontown,Effectv,2,1734,112840,8295,111106
26,9753,DirecTV- I+ Philadelphia,Effectv,0,1710,5159779,38792,5158069
106,2130,DISH- I+ HLLY,Effectv,0,1682,1147312,38518,1145630
162,9753,DirecTV- I+ Philadelphia,Effectv,0,1681,5159779,38142,5158098
58,2661,Blairsville,Effectv,1,1664,264946,6332,263282
58,2456,DISH- I+ Pittsburgh,Effectv,0,1608,1749856,35399,1748248
202,9753,DirecTV- I+ Philadelphia,Comcast,0,1606,5054608,29979,5053002
165,245,W Delaware County,Comcast,1,1548,110104,1883,108556
49,2456,DISH- I+ Pittsburgh,Comcast,0,1446,1718013,32338,1716567
168,261,Chester County,Comcast,1,1412,233294,1528,231882
50,2456,DISH- I+ Pittsburgh,Effectv,0,1273,1749856,28028,1748583
58,1018,Monroeville,Effectv,1,1187,193188,3178,192001
58,2662,Mt. Lebanon-Bethel Park,Effectv,0,1127,290433,5381,289306
49,6132,Cranberry-Butler,Comcast,0,1120,242111,2574,240991
30,1197,Gibsonia,Viamedia,1,1085,213781,23658,212696
152,5283,NE Philadelphia,Effectv,0,1067,222625,3372,221558
162,245,W Delaware County,Effectv,1,1026,149019,1672,147993
50,6133,Fay West-California,Effectv,1,876,148745,4314,147869
200,9762,DISH- I+ Philadelphia,Comcast,0,725,4974508,45887,4973783
44,272,Pittsburgh,Effectv,0,715,375228,2549,374513
168,9762,DISH- I+ Philadelphia,Comcast,0,679,4910115,43485,4909436
161,9762,DISH- I+ Philadelphia,Comcast,0,674,4910115,43137,4909441
165,9762,DISH- I+ Philadelphia,Comcast,0,668,4910115,42759,4909447
44,1116,Burgettstown,Ad Systems,4,657,15435,1776,14778
61,9762,DISH- I+ Philadelphia,Comcast,0,649,4910115,41508,4909466
157,9762,DISH- I+ Philadelphia,Comcast,0,620,4910115,39690,4909495
178,9762,DISH- I+ Philadelphia,Effectv,0,603,5100659,45113,5100056
49,4936,Canonsburg-South Fayette,Comcast,1,578,104356,1628,103778
29,9762,DISH- I+ Philadelphia,Effectv,0,574,5100659,42710,5100085
177,9762,DISH- I+ Philadelphia,Comcast,0,574,4974508,35877,4973934
44,1197,Gibsonia,Viamedia,0,573,213781,12492,213208
131,9762,DISH- I+ Philadelphia,Effectv,0,570,5100659,42676,5100089
106,5932,Lancaster Metro,Effectv,0,569,285355,1219,284786
146,9762,DISH- I+ Philadelphia,Comcast,0,567,4910115,36312,4909548
160,9762,DISH- I+ Philadelphia,Effectv,0,561,5100659,41959,5100098
58,9359,Laurel Highlands,Ad Systems,2,558,35767,3198,35209
144,9762,DISH- I+ Philadelphia,Effectv,0,555,5100659,41492,5100104
152,9762,DISH- I+ Philadelphia,Effectv,0,551,5100659,41191,5100108
151,9762,DISH- I+ Philadelphia,Effectv,0,541,5100659,40446,5100118
26,2476,DirecTV- I+ HLLY,Effectv,0,530,1185815,6148,1185285
144,3523,Central MontCo,Effectv,0,522,386580,1120,386058
26,9762,DISH- I+ Philadelphia,Effectv,0,516,5100659,38630,5100143
162,9762,DISH- I+ Philadelphia,Effectv,0,510,5100659,38142,5100149
18,9762,DISH- I+ Philadelphia,Comcast,0,484,5066342,35780,5065858
202,9762,DISH- I+ Philadelphia,Comcast,0,406,5066342,29979,5065936
58,2291,Mt. Pleasant,Ad Systems,0,290,110272,9412,109982
26,3523,Central MontCo,Effectv,0,272,386580,584,386308
114,6772,Tunkhannock,Viamedia,1,213,42973,974,42760
49,1290,Washington,Comcast,0,186,41311,335,41125
29,5282,SE Montgomery County,Effectv,0,129,118954,197,118825
29,3523,Central MontCo,Effectv,0,91,386580,197,386489
200,1522,University City-Manayunk,Comcast,0,84,328177,370,328093
120,6772,Tunkhannock,Viamedia,0,37,63013,249,62976
26,2130,DISH- I+ HLLY,Effectv,0,8,1147312,194,1147304
